dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2024-01-28T16:00:00Z,2024-01-28T15:30:00Z,2024-01-28,32,WIND,13519
FUELHH,2024-01-28T15:30:00Z,2024-01-28T15:00:00Z,2024-01-28,31,WIND,13272
FUELHH,2024-01-28T15:00:00Z,2024-01-28T14:30:00Z,2024-01-28,30,WIND,13332
FUELHH,2024-01-28T14:30:00Z,2024-01-28T14:00:00Z,2024-01-28,29,WIND,13270
FUELHH,2024-01-28T14:00:00Z,2024-01-28T13:30:00Z,2024-01-28,28,WIND,13316
FUELHH,2024-01-28T13:30:00Z,2024-01-28T13:00:00Z,2024-01-28,27,WIND,13513
FUELHH,2024-01-28T13:00:00Z,2024-01-28T12:30:00Z,2024-01-28,26,WIND,13682
FUELHH,2024-01-28T12:30:00Z,2024-01-28T12:00:00Z,2024-01-28,25,WIND,13588
FUELHH,2024-01-28T12:00:00Z,2024-01-28T11:30:00Z,2024-01-28,24,WIND,13063
FUELHH,2024-01-28T11:30:00Z,2024-01-28T11:00:00Z,2024-01-28,23,WIND,12532
FUELHH,2024-01-28T11:00:00Z,2024-01-28T10:30:00Z,2024-01-28,22,WIND,12639
FUELHH,2024-01-28T10:30:00Z,2024-01-28T10:00:00Z,2024-01-28,21,WIND,12583
FUELHH,2024-01-28T10:00:00Z,2024-01-28T09:30:00Z,2024-01-28,20,WIND,12523
FUELHH,2024-01-28T09:30:00Z,2024-01-28T09:00:00Z,2024-01-28,19,WIND,12157
FUELHH,2024-01-28T09:00:00Z,2024-01-28T08:30:00Z,2024-01-28,18,WIND,11948
FUELHH,2024-01-28T08:30:00Z,2024-01-28T08:00:00Z,2024-01-28,17,WIND,12248
FUELHH,2024-01-28T08:00:00Z,2024-01-28T07:30:00Z,2024-01-28,16,WIND,12484
FUELHH,2024-01-28T07:30:00Z,2024-01-28T07:00:00Z,2024-01-28,15,WIND,12485
FUELHH,2024-01-28T07:00:00Z,2024-01-28T06:30:00Z,2024-01-28,14,WIND,12622
FUELHH,2024-01-28T06:30:00Z,2024-01-28T06:00:00Z,2024-01-28,13,WIND,12877
FUELHH,2024-01-28T06:00:00Z,2024-01-28T05:30:00Z,2024-01-28,12,WIND,12853
FUELHH,2024-01-28T05:30:00Z,2024-01-28T05:00:00Z,2024-01-28,11,WIND,12679
FUELHH,2024-01-28T05:00:00Z,2024-01-28T04:30:00Z,2024-01-28,10,WIND,12365
FUELHH,2024-01-28T04:30:00Z,2024-01-28T04:00:00Z,2024-01-28,9,WIND,12181
FUELHH,2024-01-28T04:00:00Z,2024-01-28T03:30:00Z,2024-01-28,8,WIND,12232
FUELHH,2024-01-28T03:30:00Z,2024-01-28T03:00:00Z,2024-01-28,7,WIND,12345
FUELHH,2024-01-28T03:00:00Z,2024-01-28T02:30:00Z,2024-01-28,6,WIND,12440
FUELHH,2024-01-28T02:30:00Z,2024-01-28T02:00:00Z,2024-01-28,5,WIND,11981
FUELHH,2024-01-28T02:00:00Z,2024-01-28T01:30:00Z,2024-01-28,4,WIND,11819
FUELHH,2024-01-28T01:30:00Z,2024-01-28T01:00:00Z,2024-01-28,3,WIND,11312
FUELHH,2024-01-28T01:00:00Z,2024-01-28T00:30:00Z,2024-01-28,2,WIND,11096
FUELHH,2024-01-28T00:30:00Z,2024-01-28T00:00:00Z,2024-01-28,1,WIND,11118
FUELHH,2024-01-28T00:00:00Z,2024-01-27T23:30:00Z,2024-01-27,48,WIND,11479
FUELHH,2024-01-27T23:30:00Z,2024-01-27T23:00:00Z,2024-01-27,47,WIND,11688
FUELHH,2024-01-27T23:00:00Z,2024-01-27T22:30:00Z,2024-01-27,46,WIND,11686
FUELHH,2024-01-27T22:30:00Z,2024-01-27T22:00:00Z,2024-01-27,45,WIND,11292
FUELHH,2024-01-27T22:00:00Z,2024-01-27T21:30:00Z,2024-01-27,44,WIND,11256
FUELHH,2024-01-27T21:30:00Z,2024-01-27T21:00:00Z,2024-01-27,43,WIND,11309
FUELHH,2024-01-27T21:00:00Z,2024-01-27T20:30:00Z,2024-01-27,42,WIND,11359
FUELHH,2024-01-27T20:30:00Z,2024-01-27T20:00:00Z,2024-01-27,41,WIND,11453
FUELHH,2024-01-27T20:00:00Z,2024-01-27T19:30:00Z,2024-01-27,40,WIND,11529
FUELHH,2024-01-27T19:30:00Z,2024-01-27T19:00:00Z,2024-01-27,39,WIND,11124
FUELHH,2024-01-27T19:00:00Z,2024-01-27T18:30:00Z,2024-01-27,38,WIND,11350
FUELHH,2024-01-27T18:30:00Z,2024-01-27T18:00:00Z,2024-01-27,37,WIND,11500
FUELHH,2024-01-27T18:00:00Z,2024-01-27T17:30:00Z,2024-01-27,36,WIND,11815
FUELHH,2024-01-27T17:30:00Z,2024-01-27T17:00:00Z,2024-01-27,35,WIND,11721
FUELHH,2024-01-27T17:00:00Z,2024-01-27T16:30:00Z,2024-01-27,34,WIND,11595
FUELHH,2024-01-27T16:30:00Z,2024-01-27T16:00:00Z,2024-01-27,33,WIND,11093
FUELHH,2024-01-27T16:00:00Z,2024-01-27T15:30:00Z,2024-01-27,32,WIND,11183
FUELHH,2024-01-27T15:30:00Z,2024-01-27T15:00:00Z,2024-01-27,31,WIND,11419
FUELHH,2024-01-27T15:00:00Z,2024-01-27T14:30:00Z,2024-01-27,30,WIND,11448
FUELHH,2024-01-27T14:30:00Z,2024-01-27T14:00:00Z,2024-01-27,29,WIND,11712
FUELHH,2024-01-27T14:00:00Z,2024-01-27T13:30:00Z,2024-01-27,28,WIND,12002
FUELHH,2024-01-27T13:30:00Z,2024-01-27T13:00:00Z,2024-01-27,27,WIND,11761
FUELHH,2024-01-27T13:00:00Z,2024-01-27T12:30:00Z,2024-01-27,26,WIND,11930
FUELHH,2024-01-27T12:30:00Z,2024-01-27T12:00:00Z,2024-01-27,25,WIND,11957
FUELHH,2024-01-27T12:00:00Z,2024-01-27T11:30:00Z,2024-01-27,24,WIND,11940
FUELHH,2024-01-27T11:30:00Z,2024-01-27T11:00:00Z,2024-01-27,23,WIND,11512
FUELHH,2024-01-27T11:00:00Z,2024-01-27T10:30:00Z,2024-01-27,22,WIND,11564
FUELHH,2024-01-27T10:30:00Z,2024-01-27T10:00:00Z,2024-01-27,21,WIND,11366
FUELHH,2024-01-27T10:00:00Z,2024-01-27T09:30:00Z,2024-01-27,20,WIND,11163
FUELHH,2024-01-27T09:30:00Z,2024-01-27T09:00:00Z,2024-01-27,19,WIND,11012
FUELHH,2024-01-27T09:00:00Z,2024-01-27T08:30:00Z,2024-01-27,18,WIND,10674
FUELHH,2024-01-27T08:30:00Z,2024-01-27T08:00:00Z,2024-01-27,17,WIND,10340
FUELHH,2024-01-27T08:00:00Z,2024-01-27T07:30:00Z,2024-01-27,16,WIND,10004
FUELHH,2024-01-27T07:30:00Z,2024-01-27T07:00:00Z,2024-01-27,15,WIND,9683
FUELHH,2024-01-27T07:00:00Z,2024-01-27T06:30:00Z,2024-01-27,14,WIND,9574
FUELHH,2024-01-27T06:30:00Z,2024-01-27T06:00:00Z,2024-01-27,13,WIND,9601
FUELHH,2024-01-27T06:00:00Z,2024-01-27T05:30:00Z,2024-01-27,12,WIND,9844
FUELHH,2024-01-27T05:30:00Z,2024-01-27T05:00:00Z,2024-01-27,11,WIND,9962
FUELHH,2024-01-27T05:00:00Z,2024-01-27T04:30:00Z,2024-01-27,10,WIND,10206
FUELHH,2024-01-27T04:30:00Z,2024-01-27T04:00:00Z,2024-01-27,9,WIND,10210
FUELHH,2024-01-27T04:00:00Z,2024-01-27T03:30:00Z,2024-01-27,8,WIND,10415
FUELHH,2024-01-27T03:30:00Z,2024-01-27T03:00:00Z,2024-01-27,7,WIND,10526
FUELHH,2024-01-27T03:00:00Z,2024-01-27T02:30:00Z,2024-01-27,6,WIND,10923
FUELHH,2024-01-27T02:30:00Z,2024-01-27T02:00:00Z,2024-01-27,5,WIND,11146
FUELHH,2024-01-27T02:00:00Z,2024-01-27T01:30:00Z,2024-01-27,4,WIND,11267
FUELHH,2024-01-27T01:30:00Z,2024-01-27T01:00:00Z,2024-01-27,3,WIND,11576
FUELHH,2024-01-27T01:00:00Z,2024-01-27T00:30:00Z,2024-01-27,2,WIND,11691
FUELHH,2024-01-27T00:30:00Z,2024-01-27T00:00:00Z,2024-01-27,1,WIND,11898
FUELHH,2024-01-27T00:00:00Z,2024-01-26T23:30:00Z,2024-01-26,48,WIND,12011
FUELHH,2024-01-26T23:30:00Z,2024-01-26T23:00:00Z,2024-01-26,47,WIND,11989
FUELHH,2024-01-26T23:00:00Z,2024-01-26T22:30:00Z,2024-01-26,46,WIND,12080
FUELHH,2024-01-26T22:30:00Z,2024-01-26T22:00:00Z,2024-01-26,45,WIND,12336
FUELHH,2024-01-26T22:00:00Z,2024-01-26T21:30:00Z,2024-01-26,44,WIND,12380
FUELHH,2024-01-26T21:30:00Z,2024-01-26T21:00:00Z,2024-01-26,43,WIND,12454
FUELHH,2024-01-26T21:00:00Z,2024-01-26T20:30:00Z,2024-01-26,42,WIND,12482
FUELHH,2024-01-26T20:30:00Z,2024-01-26T20:00:00Z,2024-01-26,41,WIND,12562
FUELHH,2024-01-26T20:00:00Z,2024-01-26T19:30:00Z,2024-01-26,40,WIND,12520
FUELHH,2024-01-26T19:30:00Z,2024-01-26T19:00:00Z,2024-01-26,39,WIND,12733
FUELHH,2024-01-26T19:00:00Z,2024-01-26T18:30:00Z,2024-01-26,38,WIND,12745
FUELHH,2024-01-26T18:30:00Z,2024-01-26T18:00:00Z,2024-01-26,37,WIND,12745
FUELHH,2024-01-26T18:00:00Z,2024-01-26T17:30:00Z,2024-01-26,36,WIND,12726
FUELHH,2024-01-26T17:30:00Z,2024-01-26T17:00:00Z,2024-01-26,35,WIND,13030
FUELHH,2024-01-26T17:00:00Z,2024-01-26T16:30:00Z,2024-01-26,34,WIND,12846
FUELHH,2024-01-26T16:30:00Z,2024-01-26T16:00:00Z,2024-01-26,33,WIND,13208
FUELHH,2024-01-26T16:00:00Z,2024-01-26T15:30:00Z,2024-01-26,32,WIND,13631
FUELHH,2024-01-26T15:30:00Z,2024-01-26T15:00:00Z,2024-01-26,31,WIND,13927
FUELHH,2024-01-26T15:00:00Z,2024-01-26T14:30:00Z,2024-01-26,30,WIND,14316
FUELHH,2024-01-26T14:30:00Z,2024-01-26T14:00:00Z,2024-01-26,29,WIND,14854
FUELHH,2024-01-26T14:00:00Z,2024-01-26T13:30:00Z,2024-01-26,28,WIND,15185
FUELHH,2024-01-26T13:30:00Z,2024-01-26T13:00:00Z,2024-01-26,27,WIND,15185
FUELHH,2024-01-26T13:00:00Z,2024-01-26T12:30:00Z,2024-01-26,26,WIND,14902
FUELHH,2024-01-26T12:30:00Z,2024-01-26T12:00:00Z,2024-01-26,25,WIND,15103
FUELHH,2024-01-26T12:00:00Z,2024-01-26T11:30:00Z,2024-01-26,24,WIND,15069
